iter_max, absolute_result_exploration, absolute_result, score_strength_exploration, score_strength
500,0.7071067811865475,164,0.7071067811865475,143
500,0.7071067811865475,99,0.7071067811865475,132
500,0.7071067811865475,106,0.7071067811865475,99
500,0.7071067811865475,119,0.7071067811865475,82
500,0.7071067811865475,101,0.7071067811865475,129
500,0.7071067811865475,83,0.7071067811865475,210
500,0.7071067811865475,65,0.7071067811865475,183
500,0.7071067811865475,166,0.7071067811865475,74
500,0.7071067811865475,137,0.7071067811865475,113
500,0.7071067811865475,106,0.7071067811865475,75
500,0.7071067811865475,163,0.7071067811865475,74
500,0.7071067811865475,101,0.7071067811865475,192
500,0.7071067811865475,150,0.7071067811865475,67
500,0.7071067811865475,124,0.7071067811865475,123
500,0.7071067811865475,95,0.7071067811865475,128
500,0.7071067811865475,127,0.7071067811865475,125
500,0.7071067811865475,125,0.7071067811865475,89
500,0.7071067811865475,134,0.7071067811865475,169
500,0.7071067811865475,151,0.7071067811865475,181
500,0.7071067811865475,106,0.7071067811865475,118
500,0.7071067811865475,170,0.7071067811865475,73
500,0.7071067811865475,188,0.7071067811865475,71
500,0.7071067811865475,175,0.7071067811865475,88
500,0.7071067811865475,119,0.7071067811865475,146
500,0.7071067811865475,83,0.7071067811865475,172
500,0.7071067811865475,83,0.7071067811865475,220
500,0.7071067811865475,92,0.7071067811865475,127
500,0.7071067811865475,151,0.7071067811865475,110
500,0.7071067811865475,154,0.7071067811865475,99
500,0.7071067811865475,142,0.7071067811865475,80
500,0.7071067811865475,136,1,108
500,0.7071067811865475,125,0.5,106
500,0.7071067811865475,171,1,60
500,0.7071067811865475,145,1,75
500,0.7071067811865475,115,1,99
500,0.7071067811865475,94,1,114
500,0.7071067811865475,127,1,111
500,0.7071067811865475,94,1,147
500,0.7071067811865475,136,1,107
500,0.7071067811865475,114,1,143
500,0.7071067811865475,79,1,162
500,0.7071067811865475,105,1,129
500,0.7071067811865475,117,1,121
500,0.7071067811865475,91,1,173
500,0.7071067811865475,149,1,89
500,0.7071067811865475,105,1,124
500,0.7071067811865475,122,1,93
500,0.7071067811865475,115,1,107
500,0.7071067811865475,115,1,109
500,0.7071067811865475,61,1,164
500,0.7071067811865475,87,1,143
500,0.7071067811865475,73,1,125
500,0.7071067811865475,103,1,140
500,0.7071067811865475,87,1,196
500,0.7071067811865475,104,1,131
500,0.7071067811865475,190,1,74
500,0.7071067811865475,78,1,148
500,0.7071067811865475,129,1,104
500,0.7071067811865475,127,1,123
500,0.7071067811865475,107,1,195
500,0.7071067811865475,126,1,89
500,0.7071067811865475,86,1,138
500,0.7071067811865475,103,1,216
500,0.7071067811865475,113,1,165
500,0.7071067811865475,157,1,81
500,0.7071067811865475,99,1,122
500,0.7071067811865475,114,1,114
500,0.7071067811865475,113,1,133
500,0.7071067811865475,122,1,124
500,0.7071067811865475,103,1,130
500,0.7071067811865475,98,1,157
500,0.7071067811865475,130,1,145
500,0.7071067811865475,66,1,203
500,0.7071067811865475,111,1,144
500,0.7071067811865475,140,1,99
500,0.7071067811865475,76,1,168
500,0.7071067811865475,70,1,155
500,0.7071067811865475,83,1,139
500,0.7071067811865475,125,1,138
500,0.7071067811865475,86,1,138
500,0.7071067811865475,92,1,182
500,0.7071067811865475,95,1,133
500,0.7071067811865475,107,1,114
500,0.7071067811865475,98,1,141
500,0.7071067811865475,137,1,87
500,0.7071067811865475,114,1,162
500,0.7071067811865475,274,1,91
500,0.7071067811865475,132,1,175
500,0.7071067811865475,176,1,102
500,0.7071067811865475,116,1,107
500,0.7071067811865475,105,1,196
500,0.7071067811865475,102,1,130
500,0.7071067811865475,105,1,120
500,0.7071067811865475,47,1,217
500,0.7071067811865475,92,1,136
500,0.7071067811865475,51,1,185
500,0.7071067811865475,121,1,98
500,0.7071067811865475,221,1,120
500,0.7071067811865475,137,1,106
500,0.7071067811865475,140,1,83
500,0.7071067811865475,89,1,178
500,0.7071067811865475,121,1,84
500,0.7071067811865475,129,1,104
500,0.7071067811865475,115,1,117
500,0.7071067811865475,106,1,143
500,0.7071067811865475,91,1,133
500,0.7071067811865475,154,1,75
500,0.7071067811865475,94,1,149
500,0.7071067811865475,98,1,117
500,0.7071067811865475,129,1,97
500,0.7071067811865475,74,1,156
500,0.7071067811865475,138,1,81
500,0.7071067811865475,132,1,89
